Frase,Categoria
A inteligência artificial está mudando o mundo.,Cultura
O estudo da natureza é essencial para a ciência.,Natureza
A tecnologia tem um impacto profundo na sociedade.,Cultura
A matemática é a linguagem do universo.,Tecnologia
Programar em Python é divertido e eficiente.,Tecnologia
O meio ambiente precisa de mais atenção e cuidado.,Cultura
A música tem o poder de acalmar a mente.,Tecnologia
Os esportes são importantes para a saúde física e mental.,Tecnologia
A leitura enriquece o conhecimento e a imaginação.,Natureza
Cozinhar é uma arte que requer criatividade e técnica.,Tecnologia
